,road_damage_synthetic_data,,,,,,,,,,,,,,,
,21,crack,3.37,0,6.39,highway,low,rainy,cold_mix,asphalt,1174,3344,752,5270,8,HCC
,22,pothole,2.23,1,0.0,rural,very_high,dry,full_depth_repair,asphalt,820,2861,1171,4852,7,Afcons Infra
,23,crack,4.77,0,6.92,urban,low,rainy,resurfacing,asphalt,834,3767,782,5383,10,IRB Infrastructure
,24,crack,3.62,0,2.8,urban,medium,rainy,full_depth_repair,asphalt,464,1724,300,2488,7,KNR Constructions
,25,crack,4.66,0,8.34,urban,very_high,dry,cold_mix,bitumen,1396,4373,1026,6795,6,Punj Lloyd
,26,crack,2.69,0,0.93,urban,low,dry,resurfacing,gravel,200,500,300,1000,4,Megha Engineering
,27,crack,1.37,0,7.75,urban,low,humid,full_depth_repair,concrete,1480,3640,1149,6269,5,Tata Projects
,28,crack,0.36,0,1.09,highway,high,dry,patching,bitumen,503,1430,400,2333,2,Afcons Infra
,29,crack,3.66,0,8.82,highway,medium,rainy,cold_mix,bitumen,1410,3888,1276,6574,8,IRB Infrastructure
,30,crack,0.69,0,3.11,rural,low,dry,resurfacing,bitumen,432,1492,827,2751,2,Gayatri Projects
,31,pothole,1.58,4,0.0,rural,medium,dry,patching,bitumen,831,2283,450,3564,2,Megha Engineering
,32,pothole,2.71,10,0.0,rural,high,rainy,full_depth_repair,asphalt,899,3456,744,5099,9,GMR Infra
,33,crack,2.87,0,3.73,urban,medium,humid,resurfacing,asphalt,906,2487,1127,4520,7,NCC Limited
,34,crack,3.04,0,6.49,urban,high,rainy,resurfacing,bitumen,680,2902,588,4170,7,KNR Constructions
,35,crack,0.91,0,9.48,urban,medium,rainy,patching,gravel,942,2898,1874,5714,3,Shapoorji Pallonji
,36,pothole,1.96,3,0.0,highway,medium,dry,patching,concrete,1818,3736,1801,7355,2,JMC Projects
,37,crack,3.12,0,7.3,highway,low,dry,cold_mix,asphalt,1558,3902,1891,7351,5,Ashoka Buildcon
,38,pothole,4.85,10,0.0,rural,very_high,dry,patching,bitumen,4112,10000,3860,17972,9,JMC Projects
,39,pothole,3.67,7,0.0,urban,medium,dry,resurfacing,gravel,1952,5348,2607,9907,7,Gayatri Projects
,40,pothole,4.62,1,0.0,rural,low,rainy,resurfacing,bitumen,2232,6535,2994,11761,6,Afcons Infra
,41,pothole,3.83,6,0.0,rural,low,dry,full_depth_repair,bitumen,2148,7256,1146,10550,5,Afcons Infra
,42,pothole,3.0,8,0.0,rural,medium,rainy,cold_mix,bitumen,2178,7757,1867,11802,5,Megha Engineering
,43,crack,1.04,0,0.95,highway,medium,rainy,full_depth_repair,bitumen,200,701,300,1201,6,Sadbhav Engineering
,44,crack,3.37,0,0.65,highway,low,humid,resurfacing,bitumen,282,686,340,1308,7,Megha Engineering
,45,crack,3.15,0,8.79,rural,medium,dry,full_depth_repair,asphalt,924,3459,1083,5466,5,Ashoka Buildcon
,46,crack,3.05,0,9.74,rural,high,rainy,patching,concrete,1909,5189,1255,8353,6,KNR Constructions
,47,crack,2.5,0,3.1,highway,medium,rainy,full_depth_repair,gravel,1170,3018,1233,5421,7,Gammon India
,48,pothole,2.69,3,0.0,highway,low,rainy,resurfacing,concrete,1887,5833,3735,11455,7,Gammon India
,49,crack,1.74,0,1.67,rural,low,dry,patching,asphalt,307,945,379,1631,2,Larsen & Toubro
,50,crack,2.64,0,6.45,rural,medium,dry,resurfacing,bitumen,662,1789,568,3019,4,HCC
,51,pothole,1.07,3,0.0,highway,low,rainy,cold_mix,bitumen,1754,6287,1616,9657,4,Megha Engineering
,52,crack,4.05,0,5.87,rural,low,humid,cold_mix,asphalt,769,2403,1203,4375,6,Megha Engineering
,53,pothole,1.01,7,0.0,rural,high,rainy,patching,asphalt,1719,5745,1985,9449,4,JMC Projects
,54,crack,0.52,0,4.74,urban,medium,dry,cold_mix,asphalt,916,2615,954,4485,1,Dilip Buildcon
,55,pothole,2.24,7,0.0,highway,medium,dry,cold_mix,bitumen,2119,5873,1001,8993,2,Larsen & Toubro
,56,crack,3.33,0,3.62,rural,medium,rainy,cold_mix,asphalt,1055,3117,552,4724,7,GR Infraprojects
,57,crack,2.24,0,5.01,rural,high,humid,cold_mix,asphalt,972,2922,480,4374,6,Gammon India
,58,pothole,1.46,4,0.0,highway,low,dry,resurfacing,concrete,2448,6022,2955,11425,3,NCC Limited
,59,pothole,2.84,19,0.0,highway,low,rainy,patching,concrete,2190,6482,1056,9728,5,IRB Infrastructure
,60,pothole,1.8,19,0.0,highway,low,dry,patching,bitumen,1705,5807,1706,9218,3,NCC Limited
,61,pothole,4.67,14,0.0,urban,very_high,humid,resurfacing,bitumen,3688,10000,4911,18599,7,Sadbhav Engineering
,62,pothole,4.62,3,0.0,rural,medium,rainy,full_depth_repair,bitumen,3210,7468,3605,14283,11,Punj Lloyd
,63,pothole,2.56,4,0.0,urban,low,dry,full_depth_repair,bitumen,1046,2498,801,4345,6,Sadbhav Engineering
,64,pothole,1.71,8,0.0,urban,medium,dry,cold_mix,bitumen,967,2468,970,4405,3,HCC
,65,pothole,3.71,18,0.0,highway,high,rainy,patching,bitumen,4954,10000,5609,20563,7,Dilip Buildcon
,66,crack,0.28,0,0.41,highway,low,rainy,patching,asphalt,363,1213,300,1876,3,Afcons Infra
,67,crack,2.43,0,4.57,rural,high,rainy,patching,gravel,803,3047,696,4546,7,IRB Infrastructure
,68,pothole,1.75,7,0.0,urban,very_high,dry,full_depth_repair,asphalt,1598,4301,2606,8505,7,Ashoka Buildcon
,69,crack,4.61,0,2.44,urban,low,rainy,cold_mix,concrete,680,1922,1228,3830,9,IRB Infrastructure
,70,crack,0.16,0,4.44,rural,low,humid,patching,bitumen,699,1949,611,3259,2,IRB Infrastructure
,71,crack,2.81,0,0.27,urban,low,humid,full_depth_repair,bitumen,200,558,300,1058,6,Shapoorji Pallonji
,72,crack,3.73,0,1.6,rural,low,dry,resurfacing,bitumen,299,1116,318,1733,5,Shapoorji Pallonji
,73,pothole,2.48,5,0.0,rural,high,dry,patching,bitumen,1091,3406,728,5225,4,HCC
,74,crack,0.52,0,2.47,highway,low,dry,resurfacing,gravel,282,885,572,1739,2,Punj Lloyd
,75,pothole,4.87,18,0.0,urban,medium,dry,patching,asphalt,2846,10000,5494,18340,5,Simplex Infra
,76,crack,2.64,0,8.04,urban,medium,rainy,full_depth_repair,bitumen,924,3534,1449,5907,7,NCC Limited
,77,crack,3.11,0,7.56,highway,very_high,dry,full_depth_repair,asphalt,1353,5461,1551,8365,8,Gammon India
,78,crack,1.26,0,6.99,rural,medium,dry,patching,asphalt,799,2242,788,3829,2,NCC Limited
,79,pothole,2.47,9,0.0,urban,low,humid,cold_mix,concrete,1890,6552,3516,11958,4,Ashoka Buildcon
,80,crack,2.2,0,1.49,urban,medium,dry,cold_mix,bitumen,224,818,425,1467,2,KNR Constructions
,81,pothole,0.47,1,0.0,highway,high,humid,full_depth_repair,asphalt,557,1339,394,2290,5,GMR Infra
,82,crack,0.62,0,3.82,highway,low,dry,resurfacing,concrete,1041,2842,747,4630,2,HCC
,83,pothole,4.2,12,0.0,highway,medium,dry,resurfacing,concrete,4732,10000,6754,21486,4,Dilip Buildcon
,84,crack,1.28,0,0.38,urban,very_high,dry,patching,bitumen,235,729,300,1264,4,Larsen & Toubro
,85,pothole,1.06,10,0.0,highway,low,humid,resurfacing,concrete,1690,6648,1168,9506,3,GR Infraprojects
,86,pothole,2.57,14,0.0,rural,low,humid,resurfacing,gravel,605,1896,664,3165,5,Ramky Infra
,87,crack,3.87,0,2.86,urban,high,rainy,resurfacing,asphalt,879,2472,367,3718,6,Shapoorji Pallonji
,88,pothole,0.4,2,0.0,highway,low,dry,full_depth_repair,concrete,912,2799,582,4293,3,Shapoorji Pallonji
,89,crack,2.93,0,3.49,rural,low,rainy,patching,asphalt,775,2013,887,3675,4,Shapoorji Pallonji
,90,crack,0.68,0,0.86,highway,low,rainy,patching,concrete,200,696,300,1196,3,Punj Lloyd
,91,crack,0.28,0,3.99,highway,high,humid,patching,gravel,838,2744,1519,5101,3,GMR Infra
,92,crack,0.36,0,6.73,urban,very_high,humid,full_depth_repair,concrete,1335,3201,1217,5753,6,Tata Projects
,93,crack,4.19,0,4.75,rural,medium,humid,full_depth_repair,bitumen,785,2597,873,4255,8,KNR Constructions
,94,crack,0.68,0,3.9,rural,low,rainy,full_depth_repair,bitumen,867,2144,673,3684,5,GR Infraprojects
,95,crack,0.32,0,1.28,highway,low,dry,full_depth_repair,concrete,735,1871,1082,3688,3,Tata Projects
,96,crack,2.25,0,2.52,rural,medium,dry,cold_mix,bitumen,434,1269,444,2147,3,Dilip Buildcon
,97,crack,4.24,0,1.09,highway,high,rainy,resurfacing,concrete,563,2017,987,3567,9,Shapoorji Pallonji
,98,crack,1.39,0,8.09,urban,high,dry,patching,bitumen,1257,3846,1221,6324,3,JMC Projects
,99,crack,2.17,0,1.44,rural,medium,dry,full_depth_repair,gravel,501,1319,300,2120,5,HCC
,100,pothole,0.3,18,0.0,urban,very_high,dry,patching,concrete,741,2725,1301,4767,3,JMC Projects
,101,pothole,2.3,15,0.0,urban,low,rainy,cold_mix,concrete,2200,7441,2048,11689,5,Tata Projects
,102,crack,2.93,0,3.49,highway,low,rainy,full_depth_repair,bitumen,1018,2516,710,4244,7,Shapoorji Pallonji
,103,crack,2.9,0,2.34,urban,high,dry,cold_mix,concrete,700,1815,330,2845,4,Punj Lloyd
,104,crack,1.73,0,6.43,urban,medium,dry,full_depth_repair,asphalt,785,2361,1078,4224,5,Larsen & Toubro
,105,crack,1.65,0,4.62,urban,medium,rainy,patching,bitumen,1327,3660,379,5366,5,Punj Lloyd
,106,crack,0.62,0,4.06,rural,medium,humid,resurfacing,gravel,683,1944,450,3077,3,HCC
,107,crack,1.9,0,5.97,urban,medium,dry,cold_mix,bitumen,943,2932,661,4536,2,Punj Lloyd
,108,crack,0.59,0,4.96,highway,medium,rainy,resurfacing,bitumen,1209,2967,719,4895,4,Ashoka Buildcon
,109,crack,3.86,0,3.1,rural,very_high,dry,cold_mix,concrete,1343,3745,580,5668,6,IRB Infrastructure
,110,pothole,4.83,5,0.0,urban,low,dry,full_depth_repair,asphalt,2132,7521,1587,11240,8,IRB Infrastructure
,111,crack,4.85,0,6.73,rural,medium,dry,resurfacing,gravel,679,1929,520,3128,8,Gayatri Projects
,112,pothole,4.34,15,0.0,urban,low,dry,patching,bitumen,2382,5514,1854,9750,5,IRB Infrastructure
,113,crack,3.04,0,0.67,rural,high,humid,patching,bitumen,243,1022,300,1565,5,GR Infraprojects
,114,crack,3.53,0,1.95,urban,low,humid,resurfacing,gravel,321,988,300,1609,6,GMR Infra
,115,pothole,1.5,13,0.0,urban,high,dry,patching,bitumen,2150,4901,1766,8817,3,Sadbhav Engineering
,116,crack,3.19,0,2.33,urban,low,dry,patching,bitumen,544,1258,393,2195,5,Gayatri Projects
,117,pothole,2.33,2,0.0,urban,medium,dry,full_depth_repair,gravel,654,2118,577,3349,5,Gammon India
,118,crack,2.46,0,1.37,highway,high,dry,resurfacing,asphalt,388,1515,373,2276,5,Tata Projects
,119,crack,3.81,0,4.8,urban,medium,dry,resurfacing,bitumen,834,2258,556,3648,4,GMR Infra
,120,pothole,1.48,17,0.0,urban,medium,dry,cold_mix,concrete,1120,3924,1822,6866,2,Tata Projects
,121,crack,1.66,0,1.56,urban,high,dry,full_depth_repair,gravel,307,977,622,1906,5,Gayatri Projects
,122,pothole,4.63,6,0.0,highway,low,rainy,patching,concrete,5000,10000,2939,17939,6,Larsen & Toubro
,123,crack,0.38,0,0.79,highway,very_high,dry,cold_mix,bitumen,200,656,300,1156,3,IRB Infrastructure
,124,pothole,2.48,17,0.0,urban,low,rainy,resurfacing,bitumen,1413,3899,1589,6901,7,Megha Engineering
,125,pothole,4.57,3,0.0,urban,high,dry,cold_mix,bitumen,2841,8654,1412,12907,7,Shapoorji Pallonji
,126,crack,3.09,0,4.74,highway,high,humid,resurfacing,bitumen,1567,3904,1264,6735,7,Simplex Infra
,127,crack,2.78,0,2.69,urban,medium,dry,patching,asphalt,583,1532,842,2957,2,Dilip Buildcon
,128,pothole,1.32,5,0.0,highway,low,dry,full_depth_repair,concrete,1409,3512,816,5737,4,Dilip Buildcon
,129,crack,1.78,0,8.95,urban,low,dry,full_depth_repair,bitumen,1243,2626,1278,5147,4,Punj Lloyd
,130,crack,4.28,0,0.67,urban,very_high,humid,patching,asphalt,274,905,302,1481,6,Afcons Infra
,131,crack,2.84,0,6.01,rural,high,humid,cold_mix,gravel,898,2526,709,4133,6,Afcons Infra
,132,pothole,2.62,13,0.0,rural,medium,rainy,cold_mix,bitumen,604,2703,704,4011,5,Ramky Infra
,133,pothole,0.59,10,0.0,highway,medium,dry,full_depth_repair,asphalt,326,1113,467,1906,3,Gayatri Projects
,134,pothole,0.18,6,0.0,highway,low,dry,cold_mix,asphalt,491,1681,992,3164,1,IRB Infrastructure
,135,pothole,4.82,11,0.0,rural,high,humid,patching,bitumen,2127,7470,2803,12400,7,HCC
,136,pothole,1.95,4,0.0,rural,very_high,rainy,resurfacing,concrete,2442,5023,2366,9831,7,Sadbhav Engineering
,137,pothole,3.06,14,0.0,highway,low,dry,cold_mix,bitumen,2544,10000,3374,15918,3,Ramky Infra
,138,pothole,0.49,17,0.0,rural,high,dry,full_depth_repair,bitumen,901,2011,998,3910,4,NCC Limited
,139,pothole,3.45,20,0.0,urban,low,rainy,full_depth_repair,concrete,4543,10000,4022,18565,7,Larsen & Toubro
,140,pothole,4.67,2,0.0,urban,high,rainy,patching,bitumen,3050,9623,3712,16385,6,Dilip Buildcon
,141,crack,2.92,0,9.51,urban,medium,dry,full_depth_repair,concrete,1325,5049,1325,7699,4,HCC
,142,pothole,0.72,7,0.0,highway,high,dry,patching,concrete,1523,4354,691,6568,2,GMR Infra
,143,crack,2.95,0,8.59,urban,very_high,dry,cold_mix,bitumen,1369,3401,1582,6352,6,GR Infraprojects
,144,crack,3.86,0,3.49,urban,high,rainy,cold_mix,concrete,1570,4597,1190,7357,9,Simplex Infra
,145,crack,2.09,0,2.74,highway,very_high,humid,cold_mix,asphalt,611,1698,991,3300,6,NCC Limited
,146,pothole,4.41,8,0.0,urban,medium,rainy,patching,asphalt,2734,7533,2792,13059,7,NCC Limited
,147,pothole,3.28,14,0.0,rural,very_high,rainy,full_depth_repair,bitumen,3359,10000,1820,15179,10,Simplex Infra
,148,pothole,4.51,14,0.0,highway,high,humid,patching,bitumen,5000,10000,3352,18352,8,Gayatri Projects
,149,pothole,3.16,2,0.0,rural,low,dry,cold_mix,bitumen,2266,5310,2827,10403,4,Simplex Infra
,150,crack,0.74,0,0.39,urban,medium,dry,cold_mix,bitumen,200,500,300,1000,2,Gammon India
,151,pothole,1.62,10,0.0,rural,very_high,dry,cold_mix,asphalt,1473,3820,679,5972,4,Gammon India
,152,pothole,1.09,7,0.0,highway,low,humid,cold_mix,gravel,1095,3046,562,4703,3,Megha Engineering
,153,pothole,4.55,13,0.0,rural,medium,rainy,cold_mix,asphalt,1966,7911,1597,11474,7,JMC Projects
,154,pothole,3.83,15,0.0,urban,high,humid,patching,bitumen,2572,8170,1872,12614,6,Simplex Infra
,155,pothole,3.41,11,0.0,urban,low,rainy,cold_mix,gravel,3054,9781,1539,14374,7,NCC Limited
,156,crack,1.57,0,2.77,highway,high,dry,patching,concrete,1042,3038,547,4627,3,JMC Projects
,157,pothole,1.0,11,0.0,urban,medium,dry,patching,asphalt,1746,4924,1349,8019,1,Punj Lloyd
,158,crack,3.81,0,7.92,highway,medium,humid,cold_mix,asphalt,1520,5105,2658,9283,6,Gayatri Projects
,159,pothole,2.42,12,0.0,rural,medium,dry,cold_mix,gravel,1116,3751,2183,7050,3,Megha Engineering
,160,crack,1.21,0,1.29,rural,medium,humid,resurfacing,asphalt,488,1171,351,2010,4,Gayatri Projects
,161,pothole,3.12,14,0.0,highway,high,dry,cold_mix,asphalt,2514,10000,3102,15616,4,GMR Infra
,162,pothole,0.3,16,0.0,urban,high,dry,patching,concrete,618,1625,494,2737,2,IRB Infrastructure
,163,crack,1.7,0,7.02,urban,medium,dry,full_depth_repair,asphalt,1199,3088,1627,5914,4,Punj Lloyd
,164,crack,2.4,0,9.99,rural,high,humid,patching,bitumen,839,3550,825,5214,5,Larsen & Toubro
,165,crack,0.82,0,7.13,urban,high,dry,cold_mix,gravel,1044,2707,1188,4939,2,IRB Infrastructure
,166,pothole,4.92,6,0.0,rural,very_high,dry,patching,bitumen,2852,9913,1444,14209,8,Ramky Infra
,167,crack,1.12,0,0.69,highway,high,dry,full_depth_repair,asphalt,314,870,512,1696,4,HCC
,168,pothole,0.74,5,0.0,highway,medium,dry,full_depth_repair,asphalt,794,2170,444,3408,4,GR Infraprojects
,169,pothole,1.1,6,0.0,rural,medium,rainy,full_depth_repair,bitumen,933,2649,1625,5207,5,NCC Limited
,170,crack,3.87,0,6.01,highway,high,humid,patching,gravel,1158,2767,1217,5142,6,NCC Limited
,171,crack,2.18,0,6.51,urban,high,humid,full_depth_repair,bitumen,1221,3698,528,5447,6,Ashoka Buildcon
,172,pothole,2.87,19,0.0,rural,low,dry,full_depth_repair,asphalt,1241,4589,2017,7847,5,Ashoka Buildcon
,173,pothole,0.2,12,0.0,rural,high,humid,patching,concrete,643,2132,568,3343,3,NCC Limited
,174,crack,0.27,0,4.95,urban,medium,dry,cold_mix,bitumen,892,3501,638,5031,1,IRB Infrastructure
,175,crack,2.28,0,4.36,urban,low,dry,full_depth_repair,bitumen,938,2972,395,4305,4,Gammon India
,176,crack,4.1,0,4.13,highway,medium,rainy,resurfacing,bitumen,1092,3374,1387,5853,8,Gammon India
,177,pothole,4.44,13,0.0,highway,low,dry,resurfacing,gravel,2302,6726,2073,11101,5,Afcons Infra
,178,pothole,0.52,8,0.0,rural,high,humid,patching,asphalt,430,1742,489,2661,3,Sadbhav Engineering
,179,pothole,2.74,13,0.0,urban,medium,rainy,full_depth_repair,concrete,1559,5992,1774,9325,9,Simplex Infra
,180,pothole,4.57,16,0.0,urban,low,dry,patching,asphalt,3896,10000,2031,15927,7,Ashoka Buildcon
,181,pothole,2.0,2,0.0,highway,low,rainy,cold_mix,bitumen,1722,3799,1998,7519,5,Gayatri Projects
,182,pothole,4.16,13,0.0,rural,medium,rainy,patching,gravel,3045,7844,1296,12185,7,Dilip Buildcon
,183,crack,0.76,0,3.06,rural,low,dry,patching,gravel,722,1885,708,3315,2,Shapoorji Pallonji
,184,pothole,4.68,13,0.0,highway,high,dry,resurfacing,concrete,5000,10000,2590,17590,7,Punj Lloyd
,185,pothole,3.78,19,0.0,rural,low,dry,full_depth_repair,gravel,1671,4610,1999,8280,5,Sadbhav Engineering
,186,pothole,4.71,13,0.0,rural,high,rainy,patching,asphalt,4098,10000,3207,17305,9,Ashoka Buildcon
,187,crack,3.42,0,3.84,urban,medium,rainy,resurfacing,bitumen,869,3796,978,5643,5,Tata Projects
,188,pothole,1.88,19,0.0,urban,very_high,humid,cold_mix,bitumen,1707,5344,1495,8546,5,Punj Lloyd
,189,pothole,4.7,18,0.0,rural,medium,dry,patching,gravel,2458,5971,2803,11232,5,KNR Constructions
,190,crack,1.45,0,3.93,urban,low,rainy,patching,gravel,625,1965,801,3391,4,Megha Engineering
,191,pothole,1.73,19,0.0,rural,high,rainy,patching,asphalt,1612,7165,1621,10398,6,Dilip Buildcon
,192,pothole,3.53,4,0.0,urban,high,dry,cold_mix,asphalt,3623,8776,3915,16314,4,Megha Engineering
,193,pothole,3.85,4,0.0,urban,medium,humid,resurfacing,concrete,4584,10000,3910,18494,6,NCC Limited
,194,pothole,4.65,7,0.0,rural,low,dry,cold_mix,concrete,2802,9212,1748,13762,5,Afcons Infra
,195,pothole,1.1,7,0.0,urban,medium,humid,patching,concrete,1983,4971,2704,9658,3,Shapoorji Pallonji
,196,crack,4.01,0,9.27,highway,medium,rainy,resurfacing,asphalt,1520,5661,938,8119,8,Gayatri Projects
,197,crack,3.72,0,0.94,urban,medium,rainy,patching,asphalt,200,563,300,1063,6,Gammon India
,198,crack,0.41,0,2.79,rural,medium,humid,resurfacing,bitumen,565,1787,322,2674,3,Megha Engineering
,199,pothole,2.0,5,0.0,urban,high,humid,patching,bitumen,1917,6515,1832,10264,5,Tata Projects
,200,pothole,1.49,15,0.0,urban,very_high,humid,resurfacing,bitumen,1707,5997,945,8649,6,Tata Projects
,201,pothole,1.59,4,0.0,urban,low,rainy,full_depth_repair,bitumen,1995,5884,1106,8985,6,JMC Projects
,202,crack,4.92,0,5.64,highway,high,dry,cold_mix,bitumen,807,2427,924,4158,6,Sadbhav Engineering
,203,pothole,3.25,13,0.0,urban,medium,humid,patching,asphalt,3828,10000,3050,16878,5,GR Infraprojects
,204,pothole,3.62,19,0.0,highway,medium,rainy,resurfacing,asphalt,5000,10000,2670,17670,8,Afcons Infra
,205,crack,4.89,0,5.26,urban,high,dry,patching,bitumen,913,3494,670,5077,9,Punj Lloyd
,206,pothole,1.95,9,0.0,urban,high,humid,resurfacing,bitumen,1631,4317,752,6700,5,Tata Projects
,207,crack,4.03,0,2.18,highway,very_high,rainy,cold_mix,asphalt,1075,3350,1584,6009,9,Gayatri Projects
,208,crack,2.23,0,0.97,rural,high,dry,full_depth_repair,asphalt,235,812,300,1347,5,HCC
,209,crack,4.36,0,1.64,rural,low,dry,patching,bitumen,514,1167,460,2141,4,HCC
,210,pothole,0.99,18,0.0,urban,medium,humid,resurfacing,asphalt,1026,2201,915,4142,4,GR Infraprojects
,211,pothole,4.74,7,0.0,urban,high,dry,cold_mix,bitumen,2738,7849,4750,15337,8,Tata Projects
,212,pothole,1.17,1,0.0,rural,medium,dry,full_depth_repair,asphalt,1082,4372,1010,6464,3,NCC Limited
,213,pothole,1.7,3,0.0,highway,medium,rainy,cold_mix,bitumen,1789,5075,3137,10001,4,Gammon India
,214,pothole,3.81,11,0.0,urban,medium,humid,cold_mix,bitumen,2301,7706,1362,11369,4,Megha Engineering
,215,pothole,2.03,15,0.0,highway,very_high,rainy,patching,bitumen,2980,8932,1964,13876,6,Simplex Infra
,216,pothole,3.08,3,0.0,urban,high,rainy,cold_mix,asphalt,4677,10000,5497,20174,6,Ramky Infra
,217,crack,2.28,0,8.2,rural,medium,dry,patching,concrete,1110,4251,2011,7372,3,Afcons Infra
,218,pothole,3.74,13,0.0,urban,very_high,rainy,full_depth_repair,bitumen,3739,8739,4577,17055,9,Punj Lloyd
,219,crack,1.22,0,2.1,rural,high,dry,patching,asphalt,391,1131,640,2162,3,Punj Lloyd
,220,pothole,0.39,8,0.0,urban,low,rainy,cold_mix,concrete,773,2141,758,3672,3,GR Infraprojects
,221,pothole,1.57,4,0.0,urban,low,dry,cold_mix,bitumen,1809,5138,1352,8299,3,Megha Engineering
,222,pothole,2.42,18,0.0,highway,medium,humid,resurfacing,asphalt,2926,6582,2673,12181,5,Ashoka Buildcon
,223,crack,0.92,0,4.4,highway,medium,dry,cold_mix,asphalt,1080,3694,661,5435,1,NCC Limited
,224,crack,1.84,0,2.0,highway,high,dry,patching,bitumen,664,2047,515,3226,3,Larsen & Toubro
,225,crack,2.06,0,4.93,urban,high,dry,full_depth_repair,bitumen,638,2373,1048,4059,6,Shapoorji Pallonji
,226,crack,0.38,0,4.07,highway,medium,dry,resurfacing,bitumen,572,2175,992,3739,2,Dilip Buildcon
,227,pothole,2.96,9,0.0,rural,high,dry,full_depth_repair,asphalt,1607,5454,1508,8569,7,Shapoorji Pallonji
,228,crack,4.43,0,9.95,highway,medium,humid,cold_mix,concrete,1854,4532,1938,8324,4,Larsen & Toubro
,229,pothole,0.84,19,0.0,urban,medium,dry,resurfacing,asphalt,548,1878,747,3173,2,Sadbhav Engineering
,230,pothole,3.03,3,0.0,urban,high,humid,patching,bitumen,4522,10000,1460,15982,5,IRB Infrastructure
,231,crack,3.36,0,5.51,highway,medium,dry,cold_mix,asphalt,831,2425,1510,4766,4,Shapoorji Pallonji
,232,crack,2.15,0,1.29,rural,high,humid,patching,concrete,654,1665,388,2707,5,Simplex Infra
,233,crack,3.54,0,9.35,highway,low,dry,full_depth_repair,asphalt,1073,3052,1835,5960,8,Ashoka Buildcon
,234,crack,2.11,0,2.99,urban,medium,humid,resurfacing,bitumen,670,1803,657,3130,5,Dilip Buildcon
,235,crack,2.57,0,8.8,rural,medium,rainy,patching,asphalt,1167,4158,1157,6482,6,NCC Limited
,236,crack,0.14,0,2.9,highway,medium,dry,patching,asphalt,659,2125,971,3755,1,KNR Constructions
,237,crack,3.49,0,8.08,rural,medium,rainy,cold_mix,asphalt,1432,3455,1917,6804,4,Tata Projects
,238,crack,3.34,0,2.17,highway,high,humid,patching,concrete,896,2818,1525,5239,7,GR Infraprojects
,239,pothole,0.29,10,0.0,urban,low,rainy,resurfacing,concrete,556,1851,714,3121,4,Punj Lloyd
,240,crack,1.9,0,1.07,urban,low,dry,full_depth_repair,asphalt,502,1473,300,2275,4,Sadbhav Engineering
,241,crack,4.9,0,2.48,urban,low,rainy,full_depth_repair,gravel,432,1298,376,2106,10,Punj Lloyd
